"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2019-01-29T08:44:30.876+07:00[Asia/Bangkok]","0.0","14.7"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2019-01-29T08:44:46.339+07:00[Asia/Bangkok]","0.0","5.2"
